open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709942400000,0.6204,0.6263,0.6186,0.6237,71351685.3,1709949599999,44461636.00295,63989,36704040.1,22872698.42557,0
1709949600000,0.6237,0.6300,0.6229,0.6265,53285869.3,1709956799999,33398035.20240,52703,26360188.3,16522479.71889,0
1709956800000,0.6264,0.6322,0.6254,0.6301,61927288.9,1709963999999,38925832.86243,50844,34084118.3,21426699.07610,0
1709964000000,0.6301,0.6331,0.6294,0.6296,57277608.9,1709971199999,36145762.56939,45795,28702272.4,18114954.41382,0
1709971200000,0.6296,0.6308,0.6226,0.6240,107827088.4,1709978399999,67510396.52518,70302,55128368.5,34513010.55947,0
1709978400000,0.6239,0.6243,0.6163,0.6236,130576905.8,1709985599999,81083720.51447,92543,69617163.7,43238386.65368,0
1709985600000,0.6237,0.6250,0.6205,0.6245,68126806.8,1709992799999,42436533.46321,50738,33343866.5,20770914.61360,0
1709992800000,0.6245,0.6262,0.6181,0.6222,92347264.0,1709999999999,57450910.79788,63840,40051061.9,24921788.31940,0
1710000000000,0.6222,0.6237,0.6168,0.6201,110910647.5,1710007199999,68861647.93080,80464,51120624.9,31746899.17248,0
1710007200000,0.6200,0.6244,0.6182,0.6204,53978394.5,1710014399999,33576080.37120,47815,28801182.4,17916480.56121,0
1710014400000,0.6204,0.6239,0.6192,0.6233,43065675.8,1710021599999,26792238.63968,42188,20579258.9,12801503.32793,0
1710021600000,0.6233,0.6241,0.6198,0.6206,40593112.8,1710028799999,25254834.29560,37720,18296857.4,11383901.47054,0
