open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717113600000,6.4661000,6.4668000,6.4533000,6.4542000,29395.1,1717113779999,189935.74801000,692,3687.1,23827.98491000,0
1717113780000,6.4540000,6.4602000,6.4470000,6.4575000,26887.3,1717113959999,173513.73007000,699,15156.1,97834.72828000,0
1717113960000,6.4566000,6.4626000,6.4561000,6.4624000,2236.0,1717114139999,14442.73757000,172,2056.5,13283.51310000,0
1717114140000,6.4624000,6.4690000,6.4623000,6.4669000,11837.3,1717114319999,76553.91412000,323,7474.1,48333.69167000,0
1717114320000,6.4670000,6.4670000,6.4600000,6.4604000,6609.9,1717114499999,42717.72574000,212,2493.3,16111.80458000,0
1717114500000,6.4599000,6.4638000,6.4559000,6.4636000,15955.5,1717114679999,103060.34360000,362,10871.4,70217.10564000,0
1717114680000,6.4631000,6.4715000,6.4621000,6.4715000,12150.4,1717114859999,78596.08841000,368,10838.0,70109.34808000,0
1717114860000,6.4715000,6.4745000,6.4669000,6.4670000,9151.0,1717115039999,59218.55584000,340,5914.4,38275.89465000,0
1717115040000,6.4668000,6.4668000,6.4582000,6.4623000,11077.2,1717115219999,71580.59240000,331,4204.7,27170.60807000,0
1717115220000,6.4623000,6.4709000,6.4623000,6.4659000,10942.6,1717115399999,70765.74221000,352,3845.6,24864.89762000,0
1717115400000,6.4658000,6.4734000,6.4657000,6.4734000,10822.4,1717115579999,70014.71706000,393,7552.2,48858.35549000,0
1717115580000,6.4734000,6.4772000,6.4596000,6.4599000,9583.8,1717115759999,62025.60273000,423,3999.9,25882.41477000,0
1717115760000,6.4601000,6.4764000,6.4504000,6.4518000,15979.3,1717115939999,103285.74277000,731,9206.7,59515.51782000,0
1717115940000,6.4518000,6.4598000,6.4505000,6.4551000,7872.3,1717116119999,50813.12340000,448,4780.2,30853.86570000,0
1717116120000,6.4554000,6.4666000,6.4554000,6.4621000,13320.5,1717116299999,86103.68784000,371,9747.9,63007.20521000,0
1717116300000,6.4620000,6.4620000,6.4565000,6.4571000,12832.3,1717116479999,82876.94099000,334,4988.5,32217.43320000,0
1717116480000,6.4570000,6.4593000,6.4546000,6.4560000,4738.6,1717116659999,30597.11193000,248,2418.7,15616.53933000,0
1717116660000,6.4558000,6.4558000,6.4527000,6.4551000,3622.0,1717116839999,23376.36992000,216,1989.3,12838.48800000,0
1717116840000,6.4552000,6.4653000,6.4552000,6.4653000,4533.0,1717117019999,29279.30178000,203,3666.2,23678.20162000,0
1717117020000,6.4653000,6.4685000,6.4634000,6.4675000,4305.7,1717117199999,27841.71935000,219,2588.6,16738.69822000,0
1717117200000,6.4668000,6.4938000,6.4598000,6.4879000,38236.6,1717117379999,247828.16034000,1204,18748.0,121496.15756000,0
1717117380000,6.4878000,6.4892000,6.4791000,6.4830000,12419.3,1717117559999,80535.59482000,457,8145.9,52824.18425000,0
1717117560000,6.4830000,6.4849000,6.4741000,6.4752000,18922.5,1717117739999,122612.94680000,569,7868.5,50985.92420000,0
1717117740000,6.4752000,6.4805000,6.4734000,6.4787000,16242.4,1717117919999,105189.15704000,432,9748.1,63131.79053000,0
1717117920000,6.4793000,6.4833000,6.4727000,6.4818000,6986.1,1717118099999,45246.35151000,259,4252.7,27538.13613000,0
1717118100000,6.4824000,6.4881000,6.4680000,6.4730000,10555.6,1717118279999,68392.55009000,455,4780.7,30991.08850000,0
1717118280000,6.4705000,6.4822000,6.4680000,6.4681000,5186.3,1717118459999,33589.00982000,290,2981.8,19308.51503000,0
1717118460000,6.4684000,6.4748000,6.4640000,6.4703000,8083.9,1717118639999,52295.48808000,277,5571.5,36044.66535000,0
1717118640000,6.4704000,6.4729000,6.4689000,6.4705000,2884.3,1717118819999,18664.20115000,160,1959.0,12676.95763000,0
