open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709337600000,0.6018,0.6400,0.6000,0.6256,792318634.1,1709359199999,494624100.13778,565215,392292835.4,244892204.60891,0
1709359200000,0.6257,0.6438,0.6207,0.6435,643959677.5,1709380799999,407645264.96762,460057,317125190.1,200743237.11845,0
1709380800000,0.6435,0.6525,0.6263,0.6279,564190360.2,1709402399999,360194349.60291,406979,274037804.2,175001015.38231,0
1709402400000,0.6280,0.6461,0.6279,0.6449,278630232.6,1709423999999,177137684.66487,225578,142101903.7,90345466.67871,0
