open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709337600000,2.7134000,2.7136000,2.7040000,2.7049000,26006.8,1709337779999,70458.72521000,396,9098.8,24660.66494000,0
1709337780000,2.7049000,2.7132000,2.7024000,2.7125000,13485.1,1709337959999,36490.95104000,234,6501.1,17604.07106000,0
1709337960000,2.7115000,2.7130000,2.7008000,2.7071000,23654.2,1709338139999,64010.09260000,294,8349.7,22597.91387000,0
1709338140000,2.7084000,2.7115000,2.7000000,2.7041000,24586.3,1709338319999,66475.00813000,253,6809.6,18431.21483000,0
1709338320000,2.7059000,2.7216000,2.7057000,2.7193000,10984.1,1709338499999,29839.20252000,169,7524.0,20433.66556000,0
1709338500000,2.7215000,2.7278000,2.7165000,2.7242000,20382.7,1709338679999,55492.71394000,294,9227.5,25128.61381000,0
1709338680000,2.7263000,2.7387000,2.7236000,2.7367000,35966.2,1709338859999,98223.36040000,363,17035.6,46539.57380000,0
1709338860000,2.7354000,2.7372000,2.7255000,2.7283000,12866.3,1709339039999,35138.47177000,180,5539.3,15137.10299000,0
1709339040000,2.7263000,2.7347000,2.7253000,2.7331000,12813.7,1709339219999,34985.51386000,184,9246.7,25246.42457000,0
1709339220000,2.7321000,2.7330000,2.7260000,2.7276000,4986.6,1709339399999,13609.08511000,83,2169.5,5922.81382000,0
1709339400000,2.7292000,2.7316000,2.7261000,2.7286000,7099.0,1709339579999,19367.60606000,99,4290.7,11706.14092000,0
1709339580000,2.7288000,2.7317000,2.7280000,2.7316000,8303.7,1709339759999,22669.84426000,91,4441.5,12127.50126000,0
1709339760000,2.7310000,2.7317000,2.7280000,2.7317000,6199.1,1709339939999,16917.33575000,84,3316.6,9053.28211000,0
1709339940000,2.7316000,2.7317000,2.7280000,2.7297000,14077.0,1709340119999,38420.02026000,175,6529.0,17821.86083000,0
1709340120000,2.7281000,2.7293000,2.7129000,2.7175000,27226.6,1709340299999,74075.53247000,290,8828.8,24012.73683000,0
1709340300000,2.7175000,2.7317000,2.7173000,2.7316000,23014.3,1709340479999,62692.26332000,297,14941.5,40725.36349000,0
1709340480000,2.7313000,2.7395000,2.7293000,2.7336000,38852.5,1709340659999,106211.01733000,556,25895.8,70797.46241000,0
1709340660000,2.7327000,2.7360000,2.7226000,2.7255000,32169.8,1709340839999,87762.95758000,371,11525.8,31440.27349000,0
1709340840000,2.7247000,2.7289000,2.7239000,2.7267000,19930.2,1709341019999,54332.37265000,229,15838.5,43182.01322000,0
1709341020000,2.7255000,2.7257000,2.7060000,2.7098000,60027.1,1709341199999,162882.16002000,597,21340.2,57870.69443000,0
1709341200000,2.7082000,2.7099000,2.7000000,2.7002000,33825.2,1709341379999,91450.28849000,339,12363.6,33434.14463000,0
1709341380000,2.7001000,2.7274000,2.7000000,2.7087000,52922.8,1709341559999,143345.86680000,628,33555.1,90946.95885000,0
1709341560000,2.7086000,2.7349000,2.7025000,2.7057000,67006.9,1709341739999,181916.59893000,747,37157.7,101007.36374000,0
1709341740000,2.7056000,2.7109000,2.6900000,2.6934000,73768.8,1709341919999,199119.66150000,672,30510.6,82428.30107000,0
1709341920000,2.6934000,2.6948000,2.6818000,2.6887000,55645.5,1709342099999,149596.81078000,521,15371.5,41338.75229000,0
1709342100000,2.6886000,2.6968000,2.6868000,2.6916000,19390.1,1709342279999,52196.43718000,353,9128.1,24575.14420000,0
1709342280000,2.6919000,2.6926000,2.6800000,2.6867000,34136.1,1709342459999,91631.24520000,465,15442.4,41483.59522000,0
1709342460000,2.6866000,2.6869000,2.6267000,2.6575000,257396.5,1709342639999,684883.19105000,2290,69997.3,186456.38886000,0
1709342640000,2.6557000,2.6768000,2.6380000,2.6712000,135262.0,1709342819999,358995.19952000,1231,68999.2,183323.20958000,0
1709342820000,2.6738000,2.6962000,2.6738000,2.6814000,81306.7,1709342999999,218329.80900000,770,41050.8,110249.20883000,0
1709343000000,2.6820000,2.6982000,2.6820000,2.6933000,25309.4,1709343179999,68163.90045000,256,15946.1,42944.87921000,0
1709343180000,2.6937000,2.6963000,2.6807000,2.6845000,24058.0,1709343359999,64633.89939000,269,7606.0,20435.35922000,0
1709343360000,2.6848000,2.6944000,2.6848000,2.6927000,18773.8,1709343539999,50508.29144000,209,9723.0,26160.61246000,0
