open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713484800000,63445.00,63449.90,59541.00,62045.60,203063.143,1713506399999,12466421707.87820,2656117,99777.885,6126368853.59740,0
1713506400000,62045.60,65480.00,61798.50,64839.80,171633.261,1713527999999,11043146838.60224,2136802,88722.941,5705642179.79252,0
1713528000000,64839.80,65420.50,63477.50,64604.20,135465.081,1713549599999,8726471629.03238,1902154,68085.615,4386480034.77320,0
1713549600000,64604.30,64640.40,62910.00,63787.40,64102.573,1713571199999,4096093085.42500,1034510,31153.192,1990782966.95630,0
