open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714348800000,63088.40,63129.30,62952.00,63048.40,1115.837,1714348979999,70333710.25670,18431,425.166,26806657.44030,0
1714348980000,63048.50,63155.00,63048.50,63146.70,471.580,1714349159999,29768345.63230,8382,354.444,22374429.26600,0
1714349160000,63146.70,63225.20,63129.20,63222.20,704.168,1714349339999,44492574.85580,10290,458.835,28991814.75670,0
1714349340000,63222.20,63236.80,63186.30,63205.20,437.200,1714349519999,27636225.05110,7266,149.209,9432080.54410,0
1714349520000,63205.20,63282.50,63187.00,63275.30,326.250,1714349699999,20629161.13880,6428,186.409,11788050.01750,0
1714349700000,63275.30,63294.10,63191.10,63206.10,541.681,1714349879999,34254154.22920,9767,183.436,11601787.78450,0
1714349880000,63206.20,63259.80,63186.70,63202.80,292.842,1714350059999,18516992.15550,5240,101.010,6387414.47700,0
1714350060000,63202.70,63235.30,63176.80,63181.90,289.660,1714350239999,18306985.88280,5821,121.519,7680716.26430,0
1714350240000,63181.90,63218.70,63181.90,63204.20,186.741,1714350419999,11802214.08590,3362,84.215,5322248.54430,0
1714350420000,63204.20,63219.50,63150.00,63180.20,209.967,1714350599999,13266993.84480,4648,78.326,4948584.18140,0
1714350600000,63180.30,63198.10,63122.70,63163.80,231.793,1714350779999,14637737.92910,5355,93.755,5920686.83240,0
1714350780000,63163.70,63230.00,63163.70,63207.80,210.591,1714350959999,13309894.69050,4579,124.272,7854564.75740,0
1714350960000,63207.70,63207.80,63136.00,63152.40,148.792,1714351139999,9399596.25060,3746,61.941,3913214.39460,0
1714351140000,63152.50,63187.30,63152.00,63187.30,101.994,1714351319999,6442156.81970,2591,56.288,3555260.30090,0
1714351320000,63187.40,63194.50,63168.00,63191.20,56.352,1714351499999,3560495.20780,1822,32.117,2029243.03470,0
1714351500000,63191.60,63274.40,63181.00,63248.60,279.013,1714351679999,17646008.35770,5280,183.179,11584892.99410,0
1714351680000,63248.70,63262.70,63195.50,63209.20,142.886,1714351859999,9035494.76910,3979,52.878,3344116.87480,0
1714351860000,63209.20,63245.50,63179.00,63183.90,113.529,1714352039999,7176166.57750,3207,44.461,2810640.96190,0
1714352040000,63183.80,63239.40,63182.00,63208.40,89.249,1714352219999,5641834.72270,2765,40.355,2551081.78350,0
1714352220000,63208.50,63231.80,63204.50,63229.20,68.777,1714352399999,4348016.08770,2142,38.198,2414879.16990,0
1714352400000,63229.20,63258.80,63093.80,63116.50,281.152,1714352579999,17759100.55260,6607,95.891,6059377.89280,0
1714352580000,63116.40,63200.00,63097.60,63198.80,171.180,1714352759999,10811623.30100,3997,84.585,5342695.03030,0
1714352760000,63198.90,63216.90,63160.10,63160.10,83.378,1714352939999,5269599.23020,2831,39.966,2526048.94620,0
1714352940000,63160.10,63205.00,63153.40,63161.50,81.444,1714353119999,5145594.42770,2702,31.981,2020590.70080,0
1714353120000,63161.50,63163.60,63112.70,63163.50,120.972,1714353299999,7637651.75230,3041,66.792,4216773.57430,0
1714353300000,63163.60,63167.80,63117.10,63144.00,124.982,1714353479999,7891022.47490,3306,37.577,2372492.73400,0
1714353480000,63143.90,63144.00,63080.70,63092.70,140.148,1714353659999,8845032.43080,3875,48.614,3068218.09110,0
1714353660000,63092.70,63092.80,63051.70,63064.20,208.932,1714353839999,13177531.03940,4575,78.866,4973993.13830,0
1714353840000,63064.30,63116.80,63055.00,63116.80,193.904,1714354019999,12230795.66490,3463,119.997,7569190.18590,0
1714354020000,63116.80,63145.90,63083.00,63139.80,165.343,1714354199999,10435475.33240,3485,98.261,6201947.45200,0
1714354200000,63139.80,63172.70,63135.40,63160.10,116.605,1714354379999,7364156.56400,3278,60.265,3806052.82320,0
1714354380000,63160.00,63245.00,63149.10,63245.00,166.504,1714354559999,10522708.16670,3456,120.037,7586638.78620,0
1714354560000,63244.90,63337.80,63244.90,63296.20,773.574,1714354739999,48966315.64030,10254,493.284,31222612.45080,0
1714354740000,63296.20,63296.20,63176.50,63176.60,175.403,1714354919999,11091229.59250,4920,45.717,2890465.28370,0
1714354920000,63176.50,63220.50,63172.00,63196.00,236.417,1714355099999,14941219.32110,4296,156.343,9880611.71880,0
1714355100000,63196.10,63215.00,63166.30,63174.80,110.951,1714355279999,7010094.77930,3354,53.221,3362703.27630,0
1714355280000,63174.80,63224.10,63151.00,63200.80,151.555,1714355459999,9574455.55420,4263,100.228,6332113.60180,0
1714355460000,63200.80,63234.90,63182.80,63220.40,136.276,1714355639999,8614485.32890,3912,60.514,3825104.60260,0
1714355640000,63220.30,63222.60,63174.80,63204.00,132.267,1714355819999,8359469.25030,2945,40.290,2546419.81420,0
1714355820000,63204.10,63208.00,63178.60,63197.80,101.694,1714355999999,6426158.17630,2115,60.899,3848139.91160,0
1714356000000,63197.90,63249.70,63197.90,63224.60,138.809,1714356179999,8777284.10550,3195,70.728,4472149.48310,0
1714356180000,63224.60,63228.20,63186.50,63186.90,124.980,1714356359999,7900808.79820,2176,42.394,2680105.43190,0
1714356360000,63186.80,63198.30,63160.70,63198.30,211.634,1714356539999,13370699.72590,3143,86.221,5447616.71490,0
1714356540000,63198.30,63265.10,63198.30,63223.60,201.357,1714356719999,12731623.72750,4353,111.954,7078877.95430,0
1714356720000,63223.70,63223.70,63076.90,63135.80,295.839,1714356899999,18675615.06260,6177,120.225,7588156.46760,0
1714356900000,63135.80,63173.70,63118.90,63140.40,263.168,1714357079999,16617799.31620,4627,144.565,9129115.62960,0
1714357080000,63140.30,63148.20,63075.50,63075.60,177.636,1714357259999,11211614.61070,3824,86.104,5434819.86150,0
1714357260000,63075.50,63093.40,63011.70,63093.40,292.417,1714357439999,18434350.39710,6094,95.265,6006113.41290,0
1714357440000,63093.40,63109.20,63052.70,63087.20,181.164,1714357619999,11429301.03780,3334,89.682,5657763.97030,0
1714357620000,63087.10,63110.00,63055.10,63099.30,128.133,1714357799999,8082627.82510,2581,80.792,5096556.35460,0
1714357800000,63099.30,63105.60,63047.10,63064.40,97.647,1714357979999,6158985.34570,2639,33.941,2140795.15240,0
1714357980000,63064.40,63078.10,62952.00,62952.10,475.049,1714358159999,29928238.81560,7843,162.224,10220711.78100,0
1714358160000,62952.10,62995.00,62788.10,62852.00,1441.681,1714358339999,90623953.31190,18808,478.287,30064157.99160,0
1714358340000,62851.90,62851.90,62551.20,62681.90,2497.331,1714358519999,156521163.33810,31743,971.280,60872818.83770,0
1714358520000,62681.80,62730.80,62516.70,62727.20,1465.166,1714358699999,91749939.05960,19406,868.360,54385362.17840,0
1714358700000,62728.00,62845.10,62660.00,62796.00,728.099,1714358879999,45695029.38520,12389,459.051,28810385.72610,0
1714358880000,62795.90,62819.00,62678.60,62699.90,721.612,1714359059999,45269079.09040,10654,302.375,18965301.81980,0
1714359060000,62699.80,62786.90,62686.30,62742.40,268.810,1714359239999,16865280.41930,5844,166.466,10444248.48580,0
1714359240000,62742.30,62748.70,62635.80,62651.10,263.224,1714359419999,16505895.06610,5424,85.989,5392758.60850,0
1714359420000,62651.00,62732.60,62603.70,62678.30,514.125,1714359599999,32218872.14830,9752,313.187,19627176.05070,0
1714359600000,62678.20,62750.00,62559.70,62594.00,863.643,1714359779999,54107301.24100,11451,347.643,21786300.33590,0
1714359780000,62594.00,62594.10,62438.00,62520.00,1472.835,1714359959999,92066887.63280,21612,592.553,37041901.16740,0
1714359960000,62520.00,62545.60,62435.00,62463.20,739.042,1714360139999,46178184.03570,11828,402.700,25163545.65080,0
1714360140000,62463.20,62536.30,62395.20,62529.70,1102.002,1714360319999,68834997.19360,16431,577.148,36059994.35720,0
1714360320000,62529.70,62585.80,62509.90,62520.90,473.054,1714360499999,29589529.83660,8200,265.320,16596817.96430,0
1714360500000,62520.90,62600.00,62506.30,62569.60,315.403,1714360679999,19730169.52190,7066,190.832,11937770.13550,0
1714360680000,62569.60,62636.90,62559.00,62626.30,356.040,1714360859999,22288358.59240,6546,248.082,15530158.34180,0
1714360860000,62626.30,62649.50,62615.20,62631.90,314.210,1714361039999,19680703.32010,5722,163.394,10234267.11750,0
1714361040000,62632.00,62711.90,62621.70,62672.10,405.141,1714361219999,25389065.65780,7354,259.944,16290700.91560,0
1714361220000,62672.10,62672.10,62490.00,62631.60,601.792,1714361399999,37656784.58150,10149,261.829,16383190.51210,0
1714361400000,62631.70,62661.40,62558.60,62611.00,328.248,1714361579999,20551397.99720,7487,157.781,9879238.01780,0
1714361580000,62611.00,62611.10,62388.10,62467.60,1279.361,1714361759999,79919348.99150,17237,496.650,31024367.36240,0
1714361760000,62467.60,62607.80,62467.50,62607.70,409.456,1714361939999,25606474.31920,7985,241.247,15087444.67770,0
1714361940000,62607.80,62636.90,62579.00,62617.40,245.861,1714362119999,15393350.65150,5231,120.442,7540991.17620,0
1714362120000,62617.30,62655.80,62589.00,62639.90,320.098,1714362299999,20048672.54050,5451,217.847,13644813.83430,0
1714362300000,62638.80,62651.80,62572.00,62637.50,325.220,1714362479999,20363331.46170,5488,233.334,14610516.16640,0
1714362480000,62637.50,62637.60,62561.10,62579.60,165.414,1714362659999,10356089.82620,3364,62.113,3888967.08450,0
1714362660000,62579.50,62610.00,62515.00,62555.40,325.267,1714362839999,20349786.39160,6186,114.887,7187782.22360,0
1714362840000,62555.50,62592.40,62515.50,62547.50,227.659,1714363019999,14241014.44820,4572,133.602,8357330.93940,0
1714363020000,62547.50,62547.50,62056.10,62259.90,3480.737,1714363199999,216722905.25060,42337,1242.181,77348011.04930,0
1714363200000,62259.90,62360.00,62173.70,62333.30,1866.764,1714363379999,116220649.50130,25517,1023.387,63718683.30230,0
1714363380000,62333.40,62397.10,62300.00,62308.60,680.958,1714363559999,42462935.09400,10600,425.900,26559272.94920,0
1714363560000,62308.50,62435.50,62277.00,62378.00,622.805,1714363739999,38842935.93070,11341,384.602,23987749.44920,0
1714363740000,62378.10,62443.30,62350.00,62443.30,304.588,1714363919999,19008658.11040,6538,157.099,9804279.68760,0
1714363920000,62443.30,62450.00,62368.30,62444.00,426.515,1714364099999,26618111.48100,7526,255.837,15966306.69220,0
1714364100000,62444.10,62488.00,62437.70,62478.20,400.596,1714364279999,25024507.55160,7269,260.059,16245594.05230,0
1714364280000,62478.20,62478.20,62387.20,62420.00,232.723,1714364459999,14527697.63630,5717,98.608,6155442.67150,0
1714364460000,62419.00,62437.50,62374.10,62431.30,312.445,1714364639999,19499424.39500,5535,132.108,8246111.35430,0
1714364640000,62431.30,62480.00,62431.20,62479.90,265.492,1714364819999,16581724.21030,5332,177.727,11099921.68260,0
1714364820000,62480.00,62539.10,62475.90,62501.00,310.831,1714364999999,19430650.87950,6196,192.761,12049977.71380,0
1714365000000,62501.10,62541.20,62468.30,62490.00,282.734,1714365179999,17670505.56850,6254,143.830,8989066.28220,0
1714365180000,62490.00,62530.00,62489.90,62520.00,185.297,1714365359999,11583268.64170,3827,119.891,7494352.85400,0
1714365360000,62520.00,62574.90,62485.60,62520.00,270.845,1714365539999,16933977.94340,5397,152.430,9530693.27870,0
1714365540000,62520.00,62588.00,62510.00,62550.30,278.839,1714365719999,17442967.65710,5195,156.197,9771392.10000,0
1714365720000,62550.30,62632.10,62550.20,62600.80,721.784,1714365899999,45181395.81790,8140,544.942,34112131.08610,0
1714365900000,62600.60,62605.90,62536.10,62539.30,167.622,1714366079999,10487336.94020,3519,51.494,3222165.21540,0
1714366080000,62539.30,62610.00,62539.30,62587.10,202.973,1714366259999,12702013.95320,4239,109.396,6846174.55600,0
1714366260000,62587.10,62604.60,62519.90,62549.20,374.656,1714366439999,23433250.74490,6267,103.472,6471799.43950,0
1714366440000,62549.30,62554.00,62503.80,62520.90,205.455,1714366619999,12845304.38140,3432,79.025,4940663.08290,0
1714366620000,62520.80,62534.70,62486.20,62515.70,173.988,1714366799999,10875594.82510,3102,63.134,3946406.65620,0
1714366800000,62515.60,62515.60,62446.10,62446.20,274.324,1714366979999,17138335.10800,4958,108.424,6773970.74310,0
1714366980000,62446.20,62510.90,62409.20,62510.90,439.262,1714367159999,27432880.07060,6424,231.951,14488117.40360,0
1714367160000,62510.90,62510.90,62480.10,62506.80,85.794,1714367339999,5361340.99780,2426,48.229,3013885.56050,0
1714367340000,62506.70,62506.80,62483.00,62487.70,95.909,1714367519999,5993709.75880,2095,35.926,2245194.44480,0
1714367520000,62487.70,62495.00,62484.80,62492.30,65.806,1714367699999,4112255.35870,1685,44.830,2801452.86740,0
1714367700000,62492.30,62492.30,62357.60,62409.90,333.474,1714367879999,20813592.93130,6041,111.182,6938902.67920,0
1714367880000,62410.00,62432.80,62367.50,62385.10,362.008,1714368059999,22587264.71350,5135,141.875,8852519.71600,0
1714368060000,62385.00,62385.00,62305.00,62320.10,302.796,1714368239999,18876015.93120,6190,99.841,6223974.40070,0
1714368240000,62320.00,62370.00,62304.10,62330.10,270.484,1714368419999,16861372.66150,4681,157.971,9847601.11350,0
1714368420000,62330.00,62352.80,62301.80,62325.20,171.019,1714368599999,10658607.38080,3509,115.137,7175713.44150,0
1714368600000,62325.20,62325.20,62132.50,62134.60,1181.145,1714368779999,73505223.91940,17049,404.732,25189387.09790,0
1714368780000,62136.00,62142.30,62020.70,62129.30,2131.792,1714368959999,132352581.99170,26848,889.558,55233015.76980,0
1714368960000,62129.40,62325.00,62125.40,62315.60,745.721,1714369139999,46432628.74330,12680,473.445,29475805.48160,0
1714369140000,62315.50,62323.10,62250.90,62312.10,303.381,1714369319999,18896438.44390,6977,125.279,7803446.35230,0
1714369320000,62312.10,62380.00,62260.60,62379.90,381.094,1714369499999,23751063.39120,6533,246.914,15389698.93900,0
1714369500000,62379.90,62397.10,62315.00,62368.40,246.929,1714369679999,15399117.56840,5542,153.818,9593002.70380,0
1714369680000,62369.90,62378.00,62270.60,62270.60,278.067,1714369859999,17333371.11740,5905,70.832,4416959.34270,0
1714369860000,62270.60,62423.80,62270.10,62404.10,377.560,1714370039999,23548342.69360,6146,258.897,16146511.99010,0
1714370040000,62403.50,62432.00,62399.90,62400.40,249.195,1714370219999,15553681.94910,3952,159.640,9964294.47560,0
1714370220000,62400.40,62424.00,62387.00,62422.30,125.180,1714370399999,7811439.16250,2938,71.351,4452598.30180,0
1714370400000,62422.30,62438.00,62362.00,62383.60,289.053,1714370579999,18036532.51630,5134,130.315,8132531.40020,0
1714370580000,62383.60,62406.20,62359.60,62406.20,144.536,1714370759999,9015295.12190,3462,75.037,4680517.36420,0
1714370760000,62406.10,62438.00,62391.40,62417.80,209.029,1714370939999,13046310.86520,3381,81.528,5088542.89560,0
1714370940000,62417.80,62438.70,62359.60,62384.60,386.462,1714371119999,24116202.56040,5089,163.311,10191802.59770,0
1714371120000,62384.70,62384.70,62288.00,62296.90,323.212,1714371299999,20145270.28610,5387,140.554,8760127.90690,0
1714371300000,62296.90,62404.60,62296.80,62363.20,370.277,1714371479999,23092069.05870,5882,237.239,14794386.53510,0
1714371480000,62363.30,62387.90,62239.10,62245.10,275.008,1714371659999,17129300.49740,5475,98.932,6162941.50900,0
1714371660000,62245.20,62353.20,62245.20,62320.90,275.734,1714371839999,17174091.58880,5196,189.616,11810622.03990,0
1714371840000,62321.00,62321.00,62202.80,62202.90,422.863,1714372019999,26316877.26720,6831,163.627,10183599.82930,0
1714372020000,62202.80,62293.10,62200.00,62282.90,220.151,1714372199999,13706144.59630,4637,124.959,7779299.72900,0
1714372200000,62282.90,62284.40,62092.80,62169.20,1264.284,1714372379999,78605528.42040,14882,442.665,27511581.01790,0
1714372380000,62169.20,62206.20,62041.40,62063.50,1169.900,1714372559999,72635876.94200,17117,549.031,34090465.02920,0
1714372560000,62063.40,62266.00,62063.40,62211.90,893.005,1714372739999,55542573.19580,14059,529.412,32924711.95530,0
1714372740000,62212.00,62238.30,62095.20,62120.00,456.594,1714372919999,28382552.65520,7994,169.162,10514164.58530,0
1714372920000,62120.10,62191.90,62092.70,62177.80,379.257,1714373099999,23566540.95860,7709,256.609,15945256.44960,0
1714373100000,62177.90,62243.70,62154.10,62160.00,659.279,1714373279999,41000691.72520,8040,252.458,15703971.62520,0
1714373280000,62160.00,62160.10,61888.00,61969.10,3583.341,1714373459999,222064403.67560,42276,1496.796,92752570.62070,0
1714373460000,61969.10,62100.50,61900.00,62095.50,1080.419,1714373639999,67005413.10240,16986,607.684,37691092.35070,0
1714373640000,62095.40,62133.00,62076.00,62115.50,454.799,1714373819999,28245953.08400,8718,242.402,15054914.61730,0
1714373820000,62115.60,62182.70,62074.90,62171.00,626.732,1714373999999,38940839.91980,10350,346.190,21510449.13490,0
1714374000000,62170.90,62184.30,62076.40,62113.20,595.544,1714374179999,37002000.03430,10013,283.509,17613602.49880,0
1714374180000,62113.20,62113.20,61947.10,62100.00,649.081,1714374359999,40264713.22400,10194,324.380,20125613.63480,0
1714374360000,62099.90,62119.20,61971.50,61975.50,616.854,1714374539999,38259652.94730,10631,273.303,16952967.60880,0
1714374540000,61975.50,62068.00,61913.40,61980.60,655.268,1714374719999,40615728.59720,10714,339.773,21060522.93100,0
1714374720000,61980.70,62141.10,61980.60,62133.30,540.347,1714374899999,33529944.28200,8323,329.099,20422704.31190,0
1714374900000,62133.00,62196.30,62060.00,62150.70,718.762,1714375079999,44666462.08020,9382,321.796,19997684.95280,0
1714375080000,62150.70,62250.00,62150.70,62205.70,611.851,1714375259999,38068050.36270,9313,380.614,23680163.48980,0
1714375260000,62205.80,62259.10,62203.70,62219.00,362.488,1714375439999,22559754.81030,6698,197.160,12270542.95200,0
1714375440000,62218.60,62230.00,62173.00,62200.10,247.006,1714375619999,15363239.19010,4990,83.073,5166723.35600,0
1714375620000,62200.00,62271.40,62190.20,62244.50,1463.408,1714375799999,91083407.55190,12754,837.891,52151084.89200,0
1714375800000,62244.50,62252.40,62190.30,62246.90,536.094,1714375979999,33356501.12490,7385,244.726,15227285.75840,0
1714375980000,62247.00,62266.90,62203.80,62227.50,325.850,1714376159999,20279236.11380,5402,138.958,8648261.37020,0
1714376160000,62227.40,62286.00,62220.50,62285.90,178.239,1714376339999,11095149.19250,3933,87.173,5426549.80860,0
1714376340000,62285.90,62298.00,62247.70,62289.70,302.863,1714376519999,18861592.07340,4722,186.920,11640957.63550,0
1714376520000,62289.70,62306.40,62252.20,62290.00,215.704,1714376699999,13433463.47490,5049,118.046,7351658.38040,0
1714376700000,62289.90,62350.00,62224.60,62319.70,489.949,1714376879999,30524185.90880,8134,252.508,15732722.07070,0
1714376880000,62319.80,62340.00,62283.60,62336.00,262.445,1714377059999,16354213.28160,5137,139.405,8686951.99670,0
1714377060000,62336.10,62359.70,62303.50,62324.60,255.856,1714377239999,15948646.27720,5334,145.067,9042782.46000,0
1714377240000,62324.60,62386.70,62310.40,62367.00,515.981,1714377419999,32170976.71530,7745,289.054,18021900.97720,0
1714377420000,62367.10,62378.20,62345.30,62362.00,367.388,1714377599999,22911003.76280,4798,164.010,10228006.71150,0
1714377600000,62362.10,62465.00,62346.40,62426.20,797.957,1714377779999,49803948.52660,12326,511.020,31893719.06820,0
1714377780000,62426.20,62434.50,62310.00,62315.30,360.850,1714377959999,22512924.74140,7038,77.952,4863314.91150,0
1714377960000,62315.40,62358.00,62305.20,62309.90,291.057,1714378139999,18139657.32230,6056,98.898,6163843.25870,0
1714378140000,62310.00,62317.70,62266.10,62289.80,382.353,1714378319999,23814984.30310,5492,189.858,11825439.86170,0
1714378320000,62289.90,62372.80,62289.80,62308.00,256.080,1714378499999,15960536.21970,5568,93.673,5838246.98610,0
1714378500000,62308.10,62312.50,62185.90,62192.60,541.521,1714378679999,33695714.55210,9285,177.725,11058597.14950,0
1714378680000,62192.60,62298.70,62192.60,62244.40,222.708,1714378859999,13865259.68270,4980,99.729,6208095.54640,0
1714378860000,62244.50,62299.70,62244.50,62298.50,115.359,1714379039999,7184754.66830,3515,72.851,4537168.97230,0
1714379040000,62298.50,62331.00,62280.30,62322.00,246.216,1714379219999,15341218.68090,4787,97.611,6082005.91030,0
1714379220000,62321.90,62346.00,62286.00,62345.90,150.021,1714379399999,9349045.01270,3798,68.189,4249346.08920,0
