open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714521600000,60651.20,60816.70,57030.00,57482.00,153425.367,1714550399999,9036871731.66831,2067900,70326.066,4144058890.79888,0
1714550400000,57482.00,58257.80,56537.70,56865.20,191990.649,1714579199999,11003889326.61697,2511474,93953.889,5385855083.73992,0
1714579200000,56865.30,59438.20,56600.00,58307.60,218692.384,1714607999999,12653163592.34156,2699243,110116.635,6371986841.64023,0
