buy_attempts,cumulative_reward,episode,epsilon,penalty,reward,roi_block,step,total_profit,vol_block,volatility,volatility_threshold
,-0.05,1,1.0,0.0,-0.01666512362823861,0.0,0,0.0,0.0,0.003030883725241128,0.0019
,-4.592902710190826,1,1.0,0.0,-0.001666665123458505,0.0,50,-1.3337185854145446,0.0,0.0019950523955000925,0.002243552790543426
,-10.9217788792246,1,1.0,0.0,-3.87657001833362e-05,0.0,100,-4.009038112092185,0.0,0.0013724753445381608,0.0020815567914451386
,-16.617220558902513,1,1.0,0.0,-0.001666665123458505,0.0,150,-7.76182395053354,0.0,0.0015646914453523969,0.0020867434632376607
,-21.87204401517899,1,1.0,0.0,-0.001666665123458505,0.0,200,-13.289269440318094,0.0,0.0027703531024729634,0.001933534229007139
,-27.085313283539783,1,1.0,0.0,-3.758428541669137e-05,0.0,250,-15.678271609765034,0.0,0.0022495453782640645,0.0023159489593339994
,-31.40339784577694,1,0.9872009645489003,0.0,-4.044968387859205e-05,0.0,300,-18.58132717767603,0.0,0.0020288162236615104,0.0023429850089667454
0.2983076572418213,1,0.9872009645489003,0.450303316116333,300,0.12071971595287323
,-35.886571436142084,1,0.9725242090798002,0.0,-0.01666512362823861,0.0,350,-20.816843553581748,0.0,0.001037372721685627,0.0022670368895976274
,-41.76561664782617,1,0.9580656535100478,0.0,-2.2968460752996968e-05,0.0,400,-24.24098246238418,0.0,0.0007568882105163979,0.0021135548696236445
0.6823616623878479,1,0.9580656535100478,0.34948205947875977,400,0.0587809681892395
,-47.35476213054396,1,0.943822053853178,0.0,-0.01666512362823861,0.0,450,-27.247382518906193,0.0,0.000617397269203656,0.0020557068355412855
,-51.35442260862206,1,0.9297902143512013,0.0,0.0006715315370007205,0.0,500,-29.671740658684485,0.0,0.0009196032286950621,0.0018273537037058732
0.5317468047142029,1,0.9297902143512013,0.16713087260723114,500,0.009698809124529362
,-56.201776578322814,1,0.9159669867575874,0.0,-0.0074606067907749775,0.0,550,-33.79673553570319,0.0,0.001300831074385302,0.0015484372785513317
,-60.7346926812771,1,0.9023492696309106,0.0,0.0014528004114405032,0.0,600,-35.34252171807702,0.0,0.0011137110135117111,0.0013621056276728175
0.5208601355552673,1,0.9023492696309106,0.10947802662849426,600,0.008207697421312332
,-65.4881093930835,1,0.8889340076389968,0.0,-0.001666665123458505,0.0,650,-37.42656111144515,0.0,0.0009525167630105358,0.0013655068847869241
