batch_size,epochs,model__current_dropout,model__current_neiron,model__current_window,model__model_number,model__num_features,best_score
64,100,0.2,50,5,1,6,-0.20351916054884592
32,100,0.1,200,5,1,6,-0.13539240757624307
64,100,0.1,150,5,1,6,-0.06326227138439815
