batch_size,epochs,model__current_dropout,model__current_neiron,model__current_window,model__model_number,model__num_features,best_score
64,100,0.1,100,13,1,6,-0.22191091378529867
64,100,0.2,50,13,1,6,-0.18397657573223114
32,80,0.2,150,13,1,6,-0.12594959139823914
