batch_size,epochs,model__current_dropout,model__current_neiron,model__current_window,model__model_number,model__num_features,threshold,num_samples,period,best_score
96,100,0.2,150,3,1,6,0.005,26340,5m,-0.18524999916553497
128,100,0.1,100,3,1,6,0.007,26340,5m,-0.13481306036313376
32,100,0.15,150,3,1,6,0.007,26340,5m,-0.1347189744313558
32,100,0.2,200,3,1,6,0.007,26340,5m,-0.13472746312618256
64,60,0.25,50,3,1,6,0.007,26340,5m,-0.13484008113543192
32,100,0.3,50,3,1,6,0.007,26340,5m,-0.13478125631809235
64,100,0.1,150,3,1,6,0.01,26340,5m,-0.08098000784715016
96,100,0.15,150,3,1,6,0.01,26340,5m,-0.08085678269465764
