open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709337600000,2.7134000,2.7136000,2.7054000,2.7071000,9748.7,1709337659999,26416.24402000,157,1945.0,5277.17381000,0
1709337660000,2.7082000,2.7130000,2.7082000,2.7118000,8063.3,1709337719999,21861.27779000,90,3581.9,9710.60997000,0
1709337720000,2.7118000,2.7120000,2.7040000,2.7049000,8194.8,1709337779999,22181.20340000,149,3571.9,9672.88116000,0
1709337780000,2.7049000,2.7078000,2.7024000,2.7056000,8339.4,1709337839999,22558.61206000,115,3741.8,10127.10847000,0
1709337840000,2.7056000,2.7105000,2.7038000,2.7088000,3583.6,1709337899999,9696.44812000,64,1292.6,3499.60737000,0
1709337900000,2.7088000,2.7132000,2.7087000,2.7125000,1562.1,1709337959999,4235.89086000,55,1466.7,3977.35522000,0
1709337960000,2.7115000,2.7130000,2.7008000,2.7056000,14791.4,1709338019999,40017.44350000,148,4898.7,13248.92444000,0
1709338020000,2.7056000,2.7078000,2.7027000,2.7078000,4090.3,1709338079999,11064.44646000,53,882.4,2388.23097000,0
1709338080000,2.7085000,2.7120000,2.7063000,2.7071000,4772.5,1709338139999,12928.20264000,93,2568.6,6960.75846000,0
1709338140000,2.7084000,2.7115000,2.7083000,2.7098000,1214.0,1709338199999,3289.63597000,25,936.9,2538.74901000,0
1709338200000,2.7115000,2.7115000,2.7000000,2.7057000,18732.8,1709338259999,50639.60022000,162,4494.5,12164.25688000,0
1709338260000,2.7062000,2.7069000,2.7017000,2.7041000,4639.5,1709338319999,12545.77194000,66,1378.2,3728.20894000,0
1709338320000,2.7059000,2.7154000,2.7057000,2.7154000,3197.9,1709338379999,8669.52911000,49,3182.1,8626.76873000,0
1709338380000,2.7154000,2.7200000,2.7150000,2.7175000,3213.9,1709338439999,8736.02231000,60,2509.1,6820.42269000,0
1709338440000,2.7199000,2.7216000,2.7175000,2.7193000,4572.3,1709338499999,12433.65110000,60,1832.8,4986.47414000,0
1709338500000,2.7215000,2.7228000,2.7192000,2.7195000,3003.4,1709338559999,8171.39767000,54,1045.1,2844.30044000,0
1709338560000,2.7191000,2.7264000,2.7165000,2.7246000,8074.0,1709338619999,21990.58803000,112,4772.7,12998.02491000,0
1709338620000,2.7245000,2.7278000,2.7175000,2.7242000,9305.3,1709338679999,25330.72824000,128,3409.7,9286.28846000,0
1709338680000,2.7263000,2.7320000,2.7263000,2.7292000,5722.0,1709338739999,15616.16166000,70,4196.5,11453.85876000,0
1709338740000,2.7300000,2.7342000,2.7236000,2.7284000,19510.1,1709338799999,53256.90554000,161,4598.0,12551.80868000,0
1709338800000,2.7292000,2.7387000,2.7284000,2.7367000,10734.1,1709338859999,29350.29320000,132,8241.1,22533.90636000,0
1709338860000,2.7354000,2.7372000,2.7308000,2.7338000,4186.5,1709338919999,11443.27103000,56,1748.3,4779.67909000,0
1709338920000,2.7352000,2.7352000,2.7321000,2.7325000,2561.1,1709338979999,7003.51322000,29,2245.3,6140.42166000,0
1709338980000,2.7325000,2.7325000,2.7255000,2.7283000,6118.7,1709339039999,16691.68752000,95,1545.7,4217.00224000,0
1709339040000,2.7263000,2.7347000,2.7253000,2.7342000,7238.4,1709339099999,19760.38867000,95,5863.7,16007.21684000,0
1709339100000,2.7341000,2.7341000,2.7302000,2.7303000,1843.4,1709339159999,5034.78761000,29,861.7,2353.73090000,0
1709339160000,2.7302000,2.7331000,2.7283000,2.7331000,3731.9,1709339219999,10190.33758000,60,2521.3,6885.47683000,0
1709339220000,2.7321000,2.7330000,2.7297000,2.7317000,645.6,1709339279999,1763.21214000,14,361.0,986.21286000,0
1709339280000,2.7308000,2.7317000,2.7278000,2.7278000,3191.9,1709339339999,8711.95685000,42,1100.5,3005.44810000,0
1709339340000,2.7269000,2.7288000,2.7260000,2.7276000,1149.1,1709339399999,3133.91612000,27,708.0,1931.15286000,0
1709339400000,2.7292000,2.7308000,2.7286000,2.7290000,1613.9,1709339459999,4405.43804000,42,906.8,2475.70816000,0
1709339460000,2.7292000,2.7316000,2.7261000,2.7262000,3546.7,1709339519999,9675.46115000,35,1724.7,4705.23913000,0
1709339520000,2.7262000,2.7292000,2.7261000,2.7286000,1938.4,1709339579999,5286.70687000,22,1659.2,4525.19363000,0
1709339580000,2.7288000,2.7292000,2.7280000,2.7292000,2676.6,1709339639999,7304.05756000,19,1145.4,3126.00282000,0
1709339640000,2.7292000,2.7317000,2.7292000,2.7317000,3232.3,1709339699999,8825.92091000,41,2497.7,6820.77216000,0
1709339700000,2.7317000,2.7317000,2.7292000,2.7316000,2394.8,1709339759999,6539.86579000,31,798.4,2180.72628000,0
