open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711843200000,5.2692000,5.2751000,5.2671000,5.2684000,10118.5,1711843259999,53340.57220000,312,5551.8,29266.31282000,0
1711843260000,5.2698000,5.2698000,5.2486000,5.2522000,23588.9,1711843319999,124032.09055000,505,15437.5,81180.21087000,0
1711843320000,5.2530000,5.2530000,5.2432000,5.2507000,7734.5,1711843379999,40581.04759000,227,3978.5,20872.19520000,0
1711843380000,5.2494000,5.2596000,5.2452000,5.2472000,8121.8,1711843439999,42641.97420000,258,2989.9,15698.84854000,0
1711843440000,5.2470000,5.2558000,5.2359000,5.2371000,15293.2,1711843499999,80187.84387000,350,5979.8,31356.05438000,0
1711843500000,5.2374000,5.2396000,5.2306000,5.2331000,8267.2,1711843559999,43274.48161000,349,3871.8,20267.49448000,0
1711843560000,5.2332000,5.2339000,5.2263000,5.2304000,10093.3,1711843619999,52787.51345000,299,5248.2,27448.63679000,0
1711843620000,5.2322000,5.2349000,5.2301000,5.2325000,5259.7,1711843679999,27521.47455000,134,3309.2,17316.56772000,0
1711843680000,5.2321000,5.2337000,5.1981000,5.2130000,168327.5,1711843739999,877076.46068000,1299,33003.2,172045.96052000,0
1711843740000,5.2123000,5.2204000,5.2101000,5.2116000,24343.8,1711843799999,126966.21694000,404,15263.7,79615.25594000,0
1711843800000,5.2118000,5.2118000,5.1801000,5.1931000,86173.8,1711843859999,447710.33628000,1336,28909.2,150252.86268000,0
1711843860000,5.1943000,5.1978000,5.1845000,5.1894000,22613.1,1711843919999,117407.62287000,513,5429.2,28195.85762000,0
1711843920000,5.1902000,5.1990000,5.1872000,5.1979000,6739.1,1711843979999,35001.47525000,246,4685.3,24336.57828000,0
1711843980000,5.1979000,5.1996000,5.1897000,5.1986000,9342.7,1711844039999,48534.36693000,252,2866.5,14891.74875000,0
1711844040000,5.1986000,5.2173000,5.1986000,5.2162000,48821.0,1711844099999,254187.37273000,538,43556.0,226745.57757000,0
1711844100000,5.2172000,5.2212000,5.2157000,5.2179000,10176.0,1711844159999,53098.72867000,397,5296.1,27634.91649000,0
1711844160000,5.2178000,5.2258000,5.2176000,5.2210000,10345.6,1711844219999,54019.53933000,368,3834.9,20024.39092000,0
1711844220000,5.2209000,5.2222000,5.2167000,5.2183000,6506.7,1711844279999,33960.02116000,256,3002.3,15670.03567000,0
1711844280000,5.2189000,5.2189000,5.2078000,5.2078000,6819.9,1711844339999,35562.44373000,209,780.3,4071.20124000,0
1711844340000,5.2078000,5.2188000,5.2064000,5.2169000,7537.0,1711844399999,39300.98553000,178,6194.6,32304.05830000,0
1711844400000,5.2168000,5.2196000,5.2152000,5.2170000,8040.7,1711844459999,41945.55033000,270,6266.7,32690.63582000,0
1711844460000,5.2171000,5.2268000,5.2171000,5.2239000,9979.5,1711844519999,52121.80765000,298,7070.1,36921.96020000,0
1711844520000,5.2231000,5.2272000,5.2220000,5.2253000,4041.1,1711844579999,21112.83323000,100,2421.6,12651.31426000,0
1711844580000,5.2248000,5.2319000,5.2228000,5.2292000,5699.4,1711844639999,29799.49493000,197,4140.8,21651.12667000,0
1711844640000,5.2290000,5.2319000,5.2257000,5.2319000,9027.3,1711844699999,47204.13231000,217,4912.1,25686.99591000,0
1711844700000,5.2317000,5.2320000,5.2278000,5.2278000,4678.2,1711844759999,24469.86092000,154,1830.5,9574.98321000,0
1711844760000,5.2285000,5.2306000,5.2238000,5.2282000,5491.5,1711844819999,28702.50991000,164,3195.2,16700.59883000,0
1711844820000,5.2280000,5.2288000,5.2250000,5.2258000,6298.8,1711844879999,32915.81393000,144,564.3,2950.13833000,0
1711844880000,5.2259000,5.2300000,5.2259000,5.2297000,5146.4,1711844939999,26902.45741000,157,3844.5,20095.81446000,0
1711844940000,5.2292000,5.2347000,5.2282000,5.2325000,15436.5,1711844999999,80751.32496000,227,14566.1,76199.24805000,0
1711845000000,5.2332000,5.2332000,5.2189000,5.2194000,8904.1,1711845059999,46537.76128000,279,1130.3,5907.36765000,0
1711845060000,5.2188000,5.2193000,5.2073000,5.2093000,9157.7,1711845119999,47751.24226000,295,1647.6,8587.18202000,0
1711845120000,5.2098000,5.2142000,5.2006000,5.2064000,9884.4,1711845179999,51468.52854000,312,4257.1,22172.16884000,0
1711845180000,5.2068000,5.2069000,5.1891000,5.1970000,29381.9,1711845239999,152621.25524000,469,5558.2,28889.81135000,0
1711845240000,5.1970000,5.2059000,5.1970000,5.2058000,9000.3,1711845299999,46808.45267000,248,4673.0,24305.24841000,0
1711845300000,5.2059000,5.2079000,5.1980000,5.1992000,4894.9,1711845359999,25472.11932000,182,1368.6,7124.56875000,0
1711845360000,5.1990000,5.2117000,5.1988000,5.2117000,4038.7,1711845419999,21020.93880000,170,3069.7,15979.34021000,0
1711845420000,5.2118000,5.2291000,5.2118000,5.2257000,8594.5,1711845479999,44883.61875000,356,6959.7,36347.15605000,0
1711845480000,5.2253000,5.2363000,5.2233000,5.2363000,4737.2,1711845539999,24784.23710000,231,3479.7,18207.79390000,0
1711845540000,5.2360000,5.2390000,5.2338000,5.2378000,4784.2,1711845599999,25051.63725000,216,1350.3,7071.57249000,0
1711845600000,5.2373000,5.2484000,5.2371000,5.2477000,5652.9,1711845659999,29633.49495000,225,3537.3,18540.87266000,0
1711845660000,5.2462000,5.2536000,5.2462000,5.2512000,9144.7,1711845719999,48021.58707000,259,4756.0,24972.41205000,0
1711845720000,5.2512000,5.2565000,5.2502000,5.2555000,2707.3,1711845779999,14225.32833000,161,1589.2,8350.44669000,0
1711845780000,5.2561000,5.2625000,5.2544000,5.2621000,9023.6,1711845839999,47448.53915000,337,4208.7,22134.61905000,0
1711845840000,5.2621000,5.2693000,5.2621000,5.2686000,9260.8,1711845899999,48766.96774000,324,3858.1,20318.29543000,0
1711845900000,5.2685000,5.2694000,5.2621000,5.2667000,7540.3,1711845959999,39716.72496000,245,1968.4,10369.65052000,0
1711845960000,5.2667000,5.2729000,5.2644000,5.2718000,5244.9,1711846019999,27635.69073000,224,2928.0,15431.26097000,0
1711846020000,5.2718000,5.2782000,5.2701000,5.2777000,9145.5,1711846079999,48241.07911000,283,6079.9,32071.77261000,0
1711846080000,5.2777000,5.2778000,5.2714000,5.2740000,5744.4,1711846139999,30302.86828000,189,495.5,2614.41786000,0
1711846140000,5.2740000,5.2740000,5.2536000,5.2543000,7632.1,1711846199999,40169.40235000,273,302.7,1592.12200000,0
1711846200000,5.2542000,5.2542000,5.2400000,5.2442000,13060.3,1711846259999,68505.82469000,359,3246.5,17024.23540000,0
1711846260000,5.2448000,5.2448000,5.2292000,5.2396000,12257.2,1711846319999,64181.77994000,364,2242.0,11742.93863000,0
1711846320000,5.2398000,5.2398000,5.2333000,5.2346000,2095.9,1711846379999,10973.92456000,141,820.8,4296.87759000,0
1711846380000,5.2343000,5.2364000,5.2288000,5.2329000,4655.8,1711846439999,24362.12212000,167,2887.8,15112.06097000,0
1711846440000,5.2330000,5.2361000,5.2285000,5.2337000,3573.5,1711846499999,18698.03185000,194,2516.4,13168.43967000,0
1711846500000,5.2341000,5.2341000,5.2257000,5.2257000,3195.3,1711846559999,16704.53033000,191,294.0,1536.76035000,0
1711846560000,5.2263000,5.2267000,5.2218000,5.2253000,3445.4,1711846619999,18001.44724000,179,1919.2,10028.38079000,0
1711846620000,5.2253000,5.2253000,5.2173000,5.2180000,3721.6,1711846679999,19427.56746000,242,493.5,2576.17150000,0
1711846680000,5.2192000,5.2237000,5.2157000,5.2157000,3452.7,1711846739999,18021.15833000,180,1686.5,8805.62898000,0
1711846740000,5.2165000,5.2179000,5.2130000,5.2130000,2586.8,1711846799999,13489.23123000,168,881.8,4598.70296000,0
1711846800000,5.2131000,5.2202000,5.2130000,5.2140000,6132.7,1711846859999,31991.02083000,314,3580.4,18678.98299000,0
1711846860000,5.2140000,5.2189000,5.2131000,5.2153000,3088.6,1711846919999,16109.51955000,160,1410.0,7355.60907000,0
